start_date,end_date,updated_date,value,load_factor,production_type,type,sub_type,start_query_date,end_query_date
2024-11-09 00:00:00+01:00,2024-11-09 00:30:00+01:00,2024-11-08T10:45:00+01:00,2512.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 00:30:00+01:00,2024-11-09 01:00:00+01:00,2024-11-08T10:45:00+01:00,2491.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 01:00:00+01:00,2024-11-09 01:30:00+01:00,2024-11-08T10:45:00+01:00,2460.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 01:30:00+01:00,2024-11-09 02:00:00+01:00,2024-11-08T10:45:00+01:00,2398.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 02:00:00+01:00,2024-11-09 02:30:00+01:00,2024-11-08T10:45:00+01:00,2341.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 02:30:00+01:00,2024-11-09 03:00:00+01:00,2024-11-08T10:45:00+01:00,2309.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 03:00:00+01:00,2024-11-09 03:30:00+01:00,2024-11-08T10:45:00+01:00,2280.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 03:30:00+01:00,2024-11-09 04:00:00+01:00,2024-11-08T10:45:00+01:00,2250.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 04:00:00+01:00,2024-11-09 04:30:00+01:00,2024-11-08T10:45:00+01:00,2223.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 04:30:00+01:00,2024-11-09 05:00:00+01:00,2024-11-08T10:45:00+01:00,2202.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 05:00:00+01:00,2024-11-09 05:30:00+01:00,2024-11-08T10:45:00+01:00,2186.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 05:30:00+01:00,2024-11-09 06:00:00+01:00,2024-11-08T10:45:00+01:00,2176.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 06:00:00+01:00,2024-11-09 06:30:00+01:00,2024-11-08T10:45:00+01:00,2161.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 06:30:00+01:00,2024-11-09 07:00:00+01:00,2024-11-08T10:45:00+01:00,2134.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 07:00:00+01:00,2024-11-09 07:30:00+01:00,2024-11-08T10:45:00+01:00,2098.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 07:30:00+01:00,2024-11-09 08:00:00+01:00,2024-11-08T10:45:00+01:00,2100.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 08:00:00+01:00,2024-11-09 08:30:00+01:00,2024-11-08T10:45:00+01:00,2318.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 08:30:00+01:00,2024-11-09 09:00:00+01:00,2024-11-08T10:45:00+01:00,2758.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 09:00:00+01:00,2024-11-09 09:30:00+01:00,2024-11-08T10:45:00+01:00,3251.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 09:30:00+01:00,2024-11-09 10:00:00+01:00,2024-11-08T10:45:00+01:00,3790.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 10:00:00+01:00,2024-11-09 10:30:00+01:00,2024-11-08T10:45:00+01:00,4248.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 10:30:00+01:00,2024-11-09 11:00:00+01:00,2024-11-08T10:45:00+01:00,4672.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 11:00:00+01:00,2024-11-09 11:30:00+01:00,2024-11-08T10:45:00+01:00,4992.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 11:30:00+01:00,2024-11-09 12:00:00+01:00,2024-11-08T10:45:00+01:00,5234.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 12:00:00+01:00,2024-11-09 12:30:00+01:00,2024-11-08T10:45:00+01:00,5318.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 12:30:00+01:00,2024-11-09 13:00:00+01:00,2024-11-08T10:45:00+01:00,5328.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 13:00:00+01:00,2024-11-09 13:30:00+01:00,2024-11-08T10:45:00+01:00,5222.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 13:30:00+01:00,2024-11-09 14:00:00+01:00,2024-11-08T10:45:00+01:00,5022.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 14:00:00+01:00,2024-11-09 14:30:00+01:00,2024-11-08T10:45:00+01:00,4740.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 14:30:00+01:00,2024-11-09 15:00:00+01:00,2024-11-08T10:45:00+01:00,4370.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 15:00:00+01:00,2024-11-09 15:30:00+01:00,2024-11-08T10:45:00+01:00,3880.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 15:30:00+01:00,2024-11-09 16:00:00+01:00,2024-11-08T10:45:00+01:00,3339.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 16:00:00+01:00,2024-11-09 16:30:00+01:00,2024-11-08T10:45:00+01:00,2746.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 16:30:00+01:00,2024-11-09 17:00:00+01:00,2024-11-08T10:45:00+01:00,2243.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 17:00:00+01:00,2024-11-09 17:30:00+01:00,2024-11-08T10:45:00+01:00,1971.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 17:30:00+01:00,2024-11-09 18:00:00+01:00,2024-11-08T10:45:00+01:00,1926.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 18:00:00+01:00,2024-11-09 18:30:00+01:00,2024-11-08T10:45:00+01:00,1970.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 18:30:00+01:00,2024-11-09 19:00:00+01:00,2024-11-08T10:45:00+01:00,2004.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 19:00:00+01:00,2024-11-09 19:30:00+01:00,2024-11-08T10:45:00+01:00,2031.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 19:30:00+01:00,2024-11-09 20:00:00+01:00,2024-11-08T10:45:00+01:00,2028.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 20:00:00+01:00,2024-11-09 20:30:00+01:00,2024-11-08T10:45:00+01:00,2030.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 20:30:00+01:00,2024-11-09 21:00:00+01:00,2024-11-08T10:45:00+01:00,2058.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 21:00:00+01:00,2024-11-09 21:30:00+01:00,2024-11-08T10:45:00+01:00,2076.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 21:30:00+01:00,2024-11-09 22:00:00+01:00,2024-11-08T10:45:00+01:00,2082.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 22:00:00+01:00,2024-11-09 22:30:00+01:00,2024-11-08T10:45:00+01:00,2067.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 22:30:00+01:00,2024-11-09 23:00:00+01:00,2024-11-08T10:45:00+01:00,2072.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 23:00:00+01:00,2024-11-09 23:30:00+01:00,2024-11-08T10:45:00+01:00,2078.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-09 23:30:00+01:00,2024-11-10 00:00:00+01:00,2024-11-08T10:45:00+01:00,2094.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 00:00:00+01:00,2024-11-10 00:30:00+01:00,2024-11-09T10:36:00+01:00,2073.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 00:30:00+01:00,2024-11-10 01:00:00+01:00,2024-11-09T10:36:00+01:00,2084.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 01:00:00+01:00,2024-11-10 01:30:00+01:00,2024-11-09T10:36:00+01:00,2093.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 01:30:00+01:00,2024-11-10 02:00:00+01:00,2024-11-09T10:36:00+01:00,2093.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 02:00:00+01:00,2024-11-10 02:30:00+01:00,2024-11-09T10:36:00+01:00,2090.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 02:30:00+01:00,2024-11-10 03:00:00+01:00,2024-11-09T10:36:00+01:00,2092.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 03:00:00+01:00,2024-11-10 03:30:00+01:00,2024-11-09T10:36:00+01:00,2093.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 03:30:00+01:00,2024-11-10 04:00:00+01:00,2024-11-09T10:36:00+01:00,2097.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 04:00:00+01:00,2024-11-10 04:30:00+01:00,2024-11-09T10:36:00+01:00,2104.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 04:30:00+01:00,2024-11-10 05:00:00+01:00,2024-11-09T10:36:00+01:00,2114.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 05:00:00+01:00,2024-11-10 05:30:00+01:00,2024-11-09T10:36:00+01:00,2120.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 05:30:00+01:00,2024-11-10 06:00:00+01:00,2024-11-09T10:36:00+01:00,2125.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 06:00:00+01:00,2024-11-10 06:30:00+01:00,2024-11-09T10:36:00+01:00,2134.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 06:30:00+01:00,2024-11-10 07:00:00+01:00,2024-11-09T10:36:00+01:00,2150.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 07:00:00+01:00,2024-11-10 07:30:00+01:00,2024-11-09T10:36:00+01:00,2154.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 07:30:00+01:00,2024-11-10 08:00:00+01:00,2024-11-09T10:36:00+01:00,2204.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 08:00:00+01:00,2024-11-10 08:30:00+01:00,2024-11-09T10:36:00+01:00,2502.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 08:30:00+01:00,2024-11-10 09:00:00+01:00,2024-11-09T10:36:00+01:00,3020.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 09:00:00+01:00,2024-11-10 09:30:00+01:00,2024-11-09T10:36:00+01:00,3566.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
2024-11-10 09:30:00+01:00,2024-11-10 10:00:00+01:00,2024-11-09T10:36:00+01:00,4180.0,,AGGREGATED_CPC,D-1,DA01,2024-11-09 00:00:00+01:00,2024-11-11 00:00:00+01:00
