start_date,end_date,updated_date,value,production_type,type,sub_type
2024-11-10 00:00:00+01:00,2024-11-10 00:30:00+01:00,2024-11-09T10:36:00+01:00,2073,AGGREGATED_CPC,D-1,DA01
2024-11-10 00:30:00+01:00,2024-11-10 01:00:00+01:00,2024-11-09T10:36:00+01:00,2084,AGGREGATED_CPC,D-1,DA01
2024-11-10 01:00:00+01:00,2024-11-10 01:30:00+01:00,2024-11-09T10:36:00+01:00,2093,AGGREGATED_CPC,D-1,DA01
2024-11-10 01:30:00+01:00,2024-11-10 02:00:00+01:00,2024-11-09T10:36:00+01:00,2093,AGGREGATED_CPC,D-1,DA01
2024-11-10 02:00:00+01:00,2024-11-10 02:30:00+01:00,2024-11-09T10:36:00+01:00,2090,AGGREGATED_CPC,D-1,DA01
2024-11-10 02:30:00+01:00,2024-11-10 03:00:00+01:00,2024-11-09T10:36:00+01:00,2092,AGGREGATED_CPC,D-1,DA01
2024-11-10 03:00:00+01:00,2024-11-10 03:30:00+01:00,2024-11-09T10:36:00+01:00,2093,AGGREGATED_CPC,D-1,DA01
2024-11-10 03:30:00+01:00,2024-11-10 04:00:00+01:00,2024-11-09T10:36:00+01:00,2097,AGGREGATED_CPC,D-1,DA01
2024-11-10 04:00:00+01:00,2024-11-10 04:30:00+01:00,2024-11-09T10:36:00+01:00,2104,AGGREGATED_CPC,D-1,DA01
2024-11-10 04:30:00+01:00,2024-11-10 05:00:00+01:00,2024-11-09T10:36:00+01:00,2114,AGGREGATED_CPC,D-1,DA01
2024-11-10 05:00:00+01:00,2024-11-10 05:30:00+01:00,2024-11-09T10:36:00+01:00,2120,AGGREGATED_CPC,D-1,DA01
2024-11-10 05:30:00+01:00,2024-11-10 06:00:00+01:00,2024-11-09T10:36:00+01:00,2125,AGGREGATED_CPC,D-1,DA01
2024-11-10 06:00:00+01:00,2024-11-10 06:30:00+01:00,2024-11-09T10:36:00+01:00,2134,AGGREGATED_CPC,D-1,DA01
2024-11-10 06:30:00+01:00,2024-11-10 07:00:00+01:00,2024-11-09T10:36:00+01:00,2150,AGGREGATED_CPC,D-1,DA01
2024-11-10 07:00:00+01:00,2024-11-10 07:30:00+01:00,2024-11-09T10:36:00+01:00,2154,AGGREGATED_CPC,D-1,DA01
2024-11-10 07:30:00+01:00,2024-11-10 08:00:00+01:00,2024-11-09T10:36:00+01:00,2204,AGGREGATED_CPC,D-1,DA01
2024-11-10 08:00:00+01:00,2024-11-10 08:30:00+01:00,2024-11-09T10:36:00+01:00,2502,AGGREGATED_CPC,D-1,DA01
2024-11-10 08:30:00+01:00,2024-11-10 09:00:00+01:00,2024-11-09T10:36:00+01:00,3020,AGGREGATED_CPC,D-1,DA01
2024-11-10 09:00:00+01:00,2024-11-10 09:30:00+01:00,2024-11-09T10:36:00+01:00,3566,AGGREGATED_CPC,D-1,DA01
2024-11-10 09:30:00+01:00,2024-11-10 10:00:00+01:00,2024-11-09T10:36:00+01:00,4180,AGGREGATED_CPC,D-1,DA01
2024-11-10 10:00:00+01:00,2024-11-10 10:30:00+01:00,2024-11-09T10:36:00+01:00,4714,AGGREGATED_CPC,D-1,DA01
2024-11-10 10:30:00+01:00,2024-11-10 11:00:00+01:00,2024-11-09T10:36:00+01:00,5212,AGGREGATED_CPC,D-1,DA01
2024-11-10 11:00:00+01:00,2024-11-10 11:30:00+01:00,2024-11-09T10:36:00+01:00,5602,AGGREGATED_CPC,D-1,DA01
2024-11-10 11:30:00+01:00,2024-11-10 12:00:00+01:00,2024-11-09T10:36:00+01:00,5934,AGGREGATED_CPC,D-1,DA01
2024-11-10 12:00:00+01:00,2024-11-10 12:30:00+01:00,2024-11-09T10:36:00+01:00,6113,AGGREGATED_CPC,D-1,DA01
2024-11-10 12:30:00+01:00,2024-11-10 13:00:00+01:00,2024-11-09T10:36:00+01:00,6227,AGGREGATED_CPC,D-1,DA01
